FL,FR,BL,BR,Danger,Front_Avg,Min_Dist,Rel_Speed,Acceleration,TTC_Seconds,Steering_Angle,Status_Label,Safety_Pct,False_Positive_Pct,Steering_Display,Aggression_Score,Threat_Source
261.1,325.41,284.25,37.16,3,293.255,37.16,0.105,-0.045,2792.904762,-45,COLLISION WARNING,24.77,21.93,45° L,0,BR
261.04,325.33,284.12,33.9,3,293.185,33.9,0.07,-0.035,999,-45,COLLISION WARNING,22.6,21.93,45° L,0,BR
261,325.26,284.05,31.62,3,293.13,31.62,0.055,-0.015,999,-45,COLLISION WARNING,21.08,21.92,45° L,0,BR
260.97,325.22,283.98,30.03,3,293.095,30.03,0.035,-0.02,999,-45,COLLISION WARNING,20.02,21.92,45° L,0,BR
260.95,325.19,283.95,27.15,4,293.07,27.15,0.025,-0.01,999,-45,COLLISION WARNING,18.1,21.92,45° L,0,BR
259.35,323.22,282.17,23.65,4,291.285,23.65,1.785,1.76,163.1848739,-45,COLLISION WARNING,15.77,21.93,45° L,0,BR
258.28,321.78,280.88,19.89,4,290.03,19.89,1.255,-0.53,231.0996016,-45,COLLISION WARNING,13.26,21.89,45° L,0,BR
257.49,320.78,279.97,17.2,4,289.135,17.2,0.895,-0.36,323.0558659,-45,COLLISION WARNING,11.47,21.89,45° L,0,BR
256.98,320.13,279.34,14.31,4,288.555,14.31,0.58,-0.315,497.5086207,-45,CRITICAL BRAKE,9.54,21.88,45° L,0,BR
256.58,319.62,278.96,12.22,4,288.1,12.22,0.455,-0.125,633.1868132,-45,CRITICAL BRAKE,8.15,21.88,45° L,0,BR
256.29,319.26,278.62,10.76,4,287.775,10.76,0.325,-0.13,885.4615385,-45,CRITICAL BRAKE,7.17,21.88,45° L,0,BR
